LANG_KEY,EN_TEXT
AUTH_WELCOME_TITLE,Welcome Back
AUTH_SIGNIN_SUBTITLE,Sign in to continue
AUTH_SIGNIN_EMAIL_LABEL,Email
AUTH_SIGNIN_EMAIL_PLACEHOLDER,Enter your email
AUTH_SIGNIN_PASSWORD_LABEL,Password
AUTH_SIGNIN_PASSWORD_PLACEHOLDER,Enter your password
AUTH_SIGNIN_FORGOT_PASSWORD,Forgot Password?
AUTH_SIGNIN_BUTTON,Sign In
AUTH_SIGNIN_CREATE_ACCOUNT,Create Account
AUTH_SIGNIN_ERROR_TITLE,Error
AUTH_SIGNIN_ERROR_MESSAGE,Please enter both email and password

AUTH_SIGNUP_HEADER,Create New Customer Account
AUTH_SIGNUP_SECTION_PERSONAL,Personal Information
AUTH_SIGNUP_SECTION_ADDRESS,Address Information
AUTH_SIGNUP_SECTION_SIGNIN,Sign-in Information

AUTH_SIGNUP_COMPANY_NAME_LABEL,Company Name
AUTH_SIGNUP_COMPANY_EMAIL_LABEL,Company Email
AUTH_SIGNUP_FIRST_NAME_LABEL,First Name
AUTH_SIGNUP_LAST_NAME_LABEL,Last Name
AUTH_SIGNUP_PHONE_LABEL,Phone Number
AUTH_SIGNUP_STREET_LABEL,Street Address
AUTH_SIGNUP_CITY_LABEL,City
AUTH_SIGNUP_STATE_LABEL,State/Province
AUTH_SIGNUP_STATE_PLACEHOLDER,"Please select a region, state or province."
AUTH_SIGNUP_ZIP_LABEL,Zip/Postal Code
AUTH_SIGNUP_COUNTRY_LABEL,Country
AUTH_SIGNUP_COUNTRY_PLACEHOLDER,Select a country
AUTH_SIGNUP_EMAIL_LABEL,Email
AUTH_SIGNUP_PASSWORD_LABEL,Password
AUTH_SIGNUP_CONFIRM_PASSWORD_LABEL,Confirm Password
AUTH_SIGNUP_PASSWORD_STRENGTH_LABEL,Password Strength:
AUTH_SIGNUP_BUTTON,Create Account

AUTH_SIGNUP_COUNTRY_PICKER_TITLE,Select Country
AUTH_SIGNUP_STATE_PICKER_TITLE,Select State/Province
AUTH_SIGNUP_STATE_PICKER_EMPTY,(No options for selected country)

AUTH_SIGNUP_VALIDATION_COMPANY_NAME_REQUIRED,Company name is required.
AUTH_SIGNUP_VALIDATION_COMPANY_EMAIL_REQUIRED,Company email is required.
AUTH_SIGNUP_VALIDATION_COMPANY_EMAIL_INVALID,Enter a valid company email.
AUTH_SIGNUP_VALIDATION_FIRST_NAME_REQUIRED,First name is required.
AUTH_SIGNUP_VALIDATION_LAST_NAME_REQUIRED,Last name is required.
AUTH_SIGNUP_VALIDATION_PHONE_REQUIRED,Phone number is required.
AUTH_SIGNUP_VALIDATION_STREET_REQUIRED,Street address is required.
AUTH_SIGNUP_VALIDATION_CITY_REQUIRED,City is required.
AUTH_SIGNUP_VALIDATION_ZIP_REQUIRED,Zip/Postal code is required.
AUTH_SIGNUP_VALIDATION_COUNTRY_REQUIRED,Country is required.
AUTH_SIGNUP_VALIDATION_ACCOUNT_EMAIL_REQUIRED,Email is required.
AUTH_SIGNUP_VALIDATION_ACCOUNT_EMAIL_INVALID,Enter a valid email.
AUTH_SIGNUP_VALIDATION_PASSWORD_REQUIRED,Password is required.
AUTH_SIGNUP_VALIDATION_PASSWORD_LENGTH,Use at least 8 characters.
AUTH_SIGNUP_VALIDATION_CONFIRM_PASSWORD_REQUIRED,Please confirm your password.
AUTH_SIGNUP_VALIDATION_PASSWORDS_DONT_MATCH,Passwords do not match.
AUTH_SIGNUP_VALIDATION_MISSING_DATA_TITLE,Missing data
AUTH_SIGNUP_VALIDATION_MISSING_DATA_MESSAGE,Please fix the highlighted fields to continue.
AUTH_SIGNUP_FEATURE_NOT_READY_TITLE,Feature
AUTH_SIGNUP_FEATURE_NOT_READY_MESSAGE,Account creation flow is not connected yet.

AUTH_PASSWORD_STRENGTH_NONE,No Password
AUTH_PASSWORD_STRENGTH_WEAK,Weak
AUTH_PASSWORD_STRENGTH_MEDIUM,Medium
AUTH_PASSWORD_STRENGTH_STRONG,Strong

AUTH_COUNTRY_GERMANY,Germany
AUTH_COUNTRY_AUSTRIA,Austria
AUTH_COUNTRY_SWITZERLAND,Switzerland
AUTH_COUNTRY_NETHERLANDS,Netherlands
AUTH_COUNTRY_BELGIUM,Belgium
AUTH_COUNTRY_FRANCE,France
AUTH_COUNTRY_ITALY,Italy
AUTH_COUNTRY_SPAIN,Spain
AUTH_COUNTRY_UNITED_KINGDOM,United Kingdom
AUTH_COUNTRY_UNITED_STATES,United States

AUTH_STATE_BADEN_WUERTTEMBERG,Baden-Württemberg
AUTH_STATE_BAVARIA,Bavaria
AUTH_STATE_BERLIN,Berlin
